datetime,Step count
29-12-18 0:00,305
29-12-18 0:15,0
29-12-18 0:30,0
29-12-18 0:45,0
29-12-18 1:00,0
29-12-18 1:15,0
29-12-18 1:30,0
29-12-18 1:45,0
29-12-18 2:00,0
29-12-18 2:15,0
29-12-18 2:30,0
29-12-18 2:45,0
29-12-18 3:00,0
29-12-18 3:15,0
29-12-18 3:30,0
29-12-18 3:45,0
29-12-18 4:00,0
29-12-18 4:15,0
29-12-18 4:30,0
29-12-18 4:45,0
29-12-18 5:00,0
29-12-18 5:15,0
29-12-18 5:30,0
29-12-18 5:45,0
29-12-18 6:00,0
29-12-18 6:15,0
29-12-18 6:30,0
29-12-18 6:45,0
29-12-18 7:00,0
29-12-18 7:15,0
29-12-18 7:30,0
29-12-18 7:45,0
29-12-18 8:00,0
29-12-18 8:15,0
29-12-18 8:30,0
29-12-18 8:45,0
29-12-18 9:00,0
29-12-18 9:15,0
29-12-18 9:30,0
29-12-18 9:45,80
29-12-18 10:00,182
29-12-18 10:15,0
29-12-18 10:30,78
29-12-18 10:45,11
29-12-18 11:00,0
29-12-18 11:15,218
29-12-18 11:30,19
29-12-18 11:45,82
29-12-18 12:00,86
29-12-18 12:15,0
29-12-18 12:30,0
29-12-18 12:45,0
29-12-18 13:00,0
29-12-18 13:15,0
29-12-18 13:30,0
29-12-18 13:45,0
29-12-18 14:00,0
29-12-18 14:15,295
29-12-18 14:30,0
29-12-18 14:45,0
29-12-18 15:00,0
29-12-18 15:15,37
29-12-18 15:30,0
29-12-18 15:45,93
29-12-18 16:00,1550
29-12-18 16:15,1395
29-12-18 16:30,952
29-12-18 16:45,0
29-12-18 17:00,0
29-12-18 17:15,0
29-12-18 17:30,36
29-12-18 17:45,21
29-12-18 18:00,20
29-12-18 18:15,0
29-12-18 18:30,0
29-12-18 18:45,0
29-12-18 19:00,89
29-12-18 19:15,25
29-12-18 19:30,18
29-12-18 19:45,23
29-12-18 20:00,0
29-12-18 20:15,0
29-12-18 20:30,0
29-12-18 20:45,0
29-12-18 21:00,0
29-12-18 21:15,0
29-12-18 21:30,0
29-12-18 21:45,0
29-12-18 22:00,0
29-12-18 22:15,0
29-12-18 22:30,75
29-12-18 22:45,0
29-12-18 23:00,0
29-12-18 23:15,0
29-12-18 23:30,0
29-12-18 23:45,0
30-12-18 0:00,0
30-12-18 0:15,0
30-12-18 0:30,0
30-12-18 0:45,0
30-12-18 1:00,0
30-12-18 1:15,0
30-12-18 1:30,0
30-12-18 1:45,0
30-12-18 2:00,0
30-12-18 2:15,0
30-12-18 2:30,0
30-12-18 2:45,0
30-12-18 3:00,0
30-12-18 3:15,0
30-12-18 3:30,0
30-12-18 3:45,0
30-12-18 4:00,0
30-12-18 4:15,0
30-12-18 4:30,0
30-12-18 4:45,0
30-12-18 5:00,0
30-12-18 5:15,0
30-12-18 5:30,0
30-12-18 5:45,0
30-12-18 6:00,0
30-12-18 6:15,0
30-12-18 6:30,0
30-12-18 6:45,0
30-12-18 7:00,0
30-12-18 7:15,0
30-12-18 7:30,0
30-12-18 7:45,0
30-12-18 8:00,0
30-12-18 8:15,0
30-12-18 8:30,37
30-12-18 8:45,0
30-12-18 9:00,38
30-12-18 9:15,654
30-12-18 9:30,1471
30-12-18 9:45,1303
30-12-18 10:00,363
30-12-18 10:15,93
30-12-18 10:30,271
30-12-18 10:45,523
30-12-18 11:00,881
30-12-18 11:15,993
30-12-18 11:30,939
30-12-18 11:45,682
30-12-18 12:00,918
30-12-18 12:15,485
30-12-18 12:30,91
30-12-18 12:45,0
30-12-18 13:00,46
30-12-18 13:15,165
30-12-18 13:30,0
30-12-18 13:45,0
30-12-18 14:00,0
30-12-18 14:15,0
30-12-18 14:30,244
30-12-18 14:45,923
30-12-18 15:00,678
30-12-18 15:15,0
30-12-18 15:30,0
30-12-18 15:45,332
30-12-18 16:00,194
30-12-18 16:15,0
30-12-18 16:30,0
30-12-18 16:45,0
30-12-18 17:00,39
30-12-18 17:15,0
30-12-18 17:30,0
30-12-18 17:45,0
30-12-18 18:00,0
30-12-18 18:15,0
30-12-18 18:30,0
30-12-18 18:45,0
30-12-18 19:00,0
30-12-18 19:15,0
30-12-18 19:30,15
30-12-18 19:45,37
30-12-18 20:00,103
30-12-18 20:15,0
30-12-18 20:30,0
30-12-18 20:45,0
30-12-18 21:00,0
30-12-18 21:15,0
30-12-18 21:30,0
30-12-18 21:45,0
30-12-18 22:00,0
30-12-18 22:15,29
30-12-18 22:30,163
30-12-18 22:45,0
30-12-18 23:00,0
30-12-18 23:15,0
30-12-18 23:30,0
30-12-18 23:45,0
31-12-18 0:00,0
31-12-18 0:15,0
31-12-18 0:30,0
31-12-18 0:45,0
31-12-18 1:00,0
31-12-18 1:15,0
31-12-18 1:30,0
31-12-18 1:45,0
31-12-18 2:00,0
31-12-18 2:15,0
31-12-18 2:30,0
31-12-18 2:45,0
31-12-18 3:00,0
31-12-18 3:15,0
31-12-18 3:30,0
31-12-18 3:45,0
31-12-18 4:00,0
31-12-18 4:15,0
31-12-18 4:30,0
31-12-18 4:45,0
31-12-18 5:00,0
31-12-18 5:15,0
31-12-18 5:30,0
31-12-18 5:45,0
31-12-18 6:00,0
31-12-18 6:15,0
31-12-18 6:30,0
31-12-18 6:45,0
31-12-18 7:00,0
31-12-18 7:15,0
31-12-18 7:30,0
31-12-18 7:45,0
31-12-18 8:00,0
31-12-18 8:15,0
31-12-18 8:30,44
31-12-18 8:45,147
31-12-18 9:00,0
31-12-18 9:15,0
31-12-18 9:30,0
31-12-18 9:45,0
31-12-18 10:00,0
31-12-18 10:15,0
31-12-18 10:30,0
31-12-18 10:45,11
31-12-18 11:00,0
31-12-18 11:15,0
31-12-18 11:30,0
31-12-18 11:45,0
31-12-18 12:00,285
31-12-18 12:15,1053
31-12-18 12:30,280
31-12-18 12:45,18
31-12-18 12:59,0
31-12-18 13:15,0
31-12-18 13:30,0
31-12-18 13:45,0
31-12-18 14:00,0
31-12-18 14:15,41
31-12-18 14:30,25
31-12-18 14:45,0
31-12-18 15:00,52
31-12-18 15:15,27
31-12-18 15:30,0
31-12-18 15:45,0
31-12-18 16:00,44
31-12-18 16:15,323
31-12-18 16:30,320
31-12-18 16:45,383
31-12-18 16:59,342
31-12-18 17:15,214
31-12-18 17:30,0
31-12-18 17:45,0
31-12-18 18:00,70
31-12-18 18:15,0
31-12-18 18:30,61
31-12-18 18:45,0
31-12-18 19:00,0
31-12-18 19:15,0
31-12-18 19:30,0
31-12-18 19:45,0
31-12-18 20:00,0
31-12-18 20:15,0
31-12-18 20:30,0
31-12-18 20:44,0
31-12-18 20:59,44
31-12-18 21:14,16
31-12-18 21:29,0
31-12-18 21:44,0
31-12-18 21:59,0
31-12-18 22:14,0
31-12-18 22:29,0
31-12-18 22:44,0
31-12-18 22:59,0
31-12-18 23:14,0
31-12-18 23:29,0
31-12-18 23:44,0
31-12-18 23:59,0
01-01-19 0:14,0
01-01-19 0:30,0
01-01-19 0:45,0
01-01-19 1:00,31
01-01-19 1:15,101
01-01-19 1:30,0
01-01-19 1:45,0
01-01-19 2:00,0
01-01-19 2:15,0
01-01-19 2:30,0
01-01-19 2:45,0
01-01-19 3:00,0
01-01-19 3:15,0
01-01-19 3:30,0
01-01-19 3:45,0
01-01-19 4:00,0
01-01-19 4:15,0
01-01-19 4:30,0
01-01-19 4:45,0
01-01-19 5:00,0
01-01-19 5:15,0
01-01-19 5:30,0
01-01-19 5:45,0
01-01-19 6:00,0
01-01-19 6:15,0
01-01-19 6:30,0
01-01-19 6:45,0
01-01-19 7:00,0
01-01-19 7:15,0
01-01-19 7:30,0
01-01-19 7:45,0
01-01-19 8:00,0
01-01-19 8:15,0
01-01-19 8:30,0
01-01-19 8:45,12
01-01-19 9:00,0
01-01-19 9:15,0
01-01-19 9:30,131
01-01-19 9:45,1633
01-01-19 10:00,293
01-01-19 10:15,0
01-01-19 10:30,0
01-01-19 10:45,0
01-01-19 11:00,704
01-01-19 11:15,1628
01-01-19 11:30,972
01-01-19 11:45,37
01-01-19 12:00,0
01-01-19 12:15,0
01-01-19 12:30,0
01-01-19 12:45,0
01-01-19 13:00,0
01-01-19 13:15,38
01-01-19 13:30,0
01-01-19 13:45,0
01-01-19 14:00,34
01-01-19 14:15,29
01-01-19 14:30,0
01-01-19 14:45,0
01-01-19 15:00,0
01-01-19 15:15,0
01-01-19 15:30,0
01-01-19 15:45,0
01-01-19 16:00,0
01-01-19 16:15,56
01-01-19 16:30,63
01-01-19 16:45,0
01-01-19 17:00,0
01-01-19 17:15,0
01-01-19 17:30,0
01-01-19 17:45,0
01-01-19 18:00,15
01-01-19 18:15,0
01-01-19 18:30,32
01-01-19 18:45,19
01-01-19 19:00,0
01-01-19 19:15,0
01-01-19 19:30,0
01-01-19 19:45,0
01-01-19 20:00,0
01-01-19 20:15,0
01-01-19 20:30,0
01-01-19 20:45,0
01-01-19 21:00,0
01-01-19 21:15,0
01-01-19 21:30,0
01-01-19 21:45,0
01-01-19 22:00,0
01-01-19 22:15,0
01-01-19 22:30,0
01-01-19 22:45,0
01-01-19 23:00,26
01-01-19 23:15,79
01-01-19 23:30,0
01-01-19 23:45,0
01-01-19 23:59,0
01-02-19 0:15,0
01-02-19 0:30,0
01-02-19 0:45,0
01-02-19 1:00,0
01-02-19 1:15,0
01-02-19 1:30,0
01-02-19 1:45,0
01-02-19 2:00,0
01-02-19 2:15,0
01-02-19 2:30,0
01-02-19 2:45,0
01-02-19 3:00,0
01-02-19 3:15,0
01-02-19 3:30,0
01-02-19 3:45,0
01-02-19 4:00,0
01-02-19 4:15,0
01-02-19 4:30,0
01-02-19 4:45,0
01-02-19 5:00,0
01-02-19 5:15,0
01-02-19 5:30,0
01-02-19 5:45,0
01-02-19 6:00,0
01-02-19 6:15,0
01-02-19 6:30,0
01-02-19 6:45,0
01-02-19 7:00,0
01-02-19 7:15,0
01-02-19 7:30,0
01-02-19 7:45,0
01-02-19 8:00,0
01-02-19 8:15,0
01-02-19 8:30,42
01-02-19 8:45,4
01-02-19 9:00,0
01-02-19 9:15,0
01-02-19 9:30,121
01-02-19 9:45,0
01-02-19 10:00,0
01-02-19 10:15,0
01-02-19 10:30,0
01-02-19 10:45,25
01-02-19 11:00,221
01-02-19 11:15,931
01-02-19 11:30,721
01-02-19 11:45,34
01-02-19 12:00,17
01-02-19 12:15,0
01-02-19 12:30,26
01-02-19 12:45,0
01-02-19 13:00,0
01-02-19 13:15,0
01-02-19 13:30,0
01-02-19 13:45,19
01-02-19 14:00,0
01-02-19 14:15,0
01-02-19 14:30,0
01-02-19 14:45,0
01-02-19 15:00,0
01-02-19 15:15,12
01-02-19 15:30,0
01-02-19 15:45,42
01-02-19 16:00,0
01-02-19 16:15,0
01-02-19 16:30,18
01-02-19 16:45,18
01-02-19 17:00,115
01-02-19 17:15,10
01-02-19 17:30,0
01-02-19 17:45,11
01-02-19 18:00,0
01-02-19 18:15,0
01-02-19 18:30,0
01-02-19 18:45,0
01-02-19 19:00,0
01-02-19 19:15,0
01-02-19 19:30,63
01-02-19 19:45,37
01-02-19 20:00,0
01-02-19 20:15,0
01-02-19 20:30,0
01-02-19 20:45,0
01-02-19 21:00,0
01-02-19 21:15,34
01-02-19 21:30,14
01-02-19 21:45,0
01-02-19 22:00,0
01-02-19 22:15,0
01-02-19 22:30,0
01-02-19 22:45,0
01-02-19 23:00,89
01-02-19 23:15,0
01-02-19 23:30,0
01-02-19 23:45,0
01-03-19 0:00,0
01-03-19 0:15,0
01-03-19 0:30,0
01-03-19 0:45,0
01-03-19 1:00,0
01-03-19 1:15,0
01-03-19 1:30,0
01-03-19 1:45,0
01-03-19 2:00,0
01-03-19 2:15,0
01-03-19 2:30,0
01-03-19 2:45,0
01-03-19 3:00,0
01-03-19 3:15,0
01-03-19 3:30,0
01-03-19 3:45,0
01-03-19 4:00,0
01-03-19 4:15,0
01-03-19 4:30,0
01-03-19 4:45,0
01-03-19 5:00,0
01-03-19 5:15,0
01-03-19 5:30,0
01-03-19 5:45,0
01-03-19 6:00,0
01-03-19 6:15,0
01-03-19 6:30,0
01-03-19 6:45,0
01-03-19 7:00,0
01-03-19 7:15,0
01-03-19 7:30,0
01-03-19 7:45,0
01-03-19 8:00,3
01-03-19 8:15,17
01-03-19 8:30,0
01-03-19 8:45,0
01-03-19 9:00,27
01-03-19 9:15,0
01-03-19 9:30,0
01-03-19 9:45,41
01-03-19 10:00,0
01-03-19 10:15,17
01-03-19 10:30,0
01-03-19 10:45,0
01-03-19 11:00,0
01-03-19 11:15,0
01-03-19 11:30,0
01-03-19 11:45,0
01-03-19 12:00,0
01-03-19 12:15,0
01-03-19 12:30,0
01-03-19 12:45,0
01-03-19 13:00,0
01-03-19 13:15,107
01-03-19 13:30,0
01-03-19 13:45,0
01-03-19 14:00,11
01-03-19 14:15,0
01-03-19 14:30,24
01-03-19 14:45,0
01-03-19 15:00,0
01-03-19 15:15,0
01-03-19 15:30,0
01-03-19 15:45,0
01-03-19 16:00,0
01-03-19 16:15,0
01-03-19 16:30,0
01-03-19 16:45,0
01-03-19 17:00,0
01-03-19 17:15,0
01-03-19 17:30,0
01-03-19 17:45,28
01-03-19 18:00,0
01-03-19 18:15,0
01-03-19 18:30,0
01-03-19 18:45,0
01-03-19 19:00,0
01-03-19 19:15,0
01-03-19 19:30,0
01-03-19 19:45,98
01-03-19 20:00,643
01-03-19 20:15,649
01-03-19 20:30,0
01-03-19 20:45,0
01-03-19 21:00,0
01-03-19 21:15,0
01-03-19 21:30,0
01-03-19 21:45,0
01-03-19 22:00,604
01-03-19 22:15,94
01-03-19 22:30,0
01-03-19 22:45,0
01-03-19 23:00,22
01-03-19 23:15,31
01-03-19 23:30,0
01-03-19 23:45,0
01-04-19 0:00,0
01-04-19 0:15,0
01-04-19 0:30,0
01-04-19 0:45,0
01-04-19 1:00,0
01-04-19 1:15,0
01-04-19 1:30,0
01-04-19 1:45,0
01-04-19 2:00,0
01-04-19 2:15,0
01-04-19 2:30,0
01-04-19 2:45,0
01-04-19 3:00,0
01-04-19 3:15,0
01-04-19 3:30,0
01-04-19 3:45,0
01-04-19 4:00,0
01-04-19 4:15,0
01-04-19 4:30,0
01-04-19 4:45,0
01-04-19 5:00,0
01-04-19 5:15,0
01-04-19 5:30,0
01-04-19 5:45,0
01-04-19 6:00,0
01-04-19 6:15,0
01-04-19 6:30,0
01-04-19 6:45,0
01-04-19 7:00,0
01-04-19 7:15,0
01-04-19 7:30,0
01-04-19 7:45,0
01-04-19 8:00,0
01-04-19 8:15,0
01-04-19 8:30,0
01-04-19 8:45,0
01-04-19 9:00,0
01-04-19 9:15,137
01-04-19 9:30,0
01-04-19 9:45,0
01-04-19 10:00,0
01-04-19 10:15,0
01-04-19 10:30,0
01-04-19 10:45,0
01-04-19 11:00,0
01-04-19 11:15,0
01-04-19 11:30,0
01-04-19 11:45,156
01-04-19 12:00,192
01-04-19 12:15,38
01-04-19 12:30,32
01-04-19 12:45,0
01-04-19 13:00,0
01-04-19 13:15,0
01-04-19 13:30,89
01-04-19 13:45,0
01-04-19 14:00,0
01-04-19 14:15,0
01-04-19 14:30,195
01-04-19 14:45,38
01-04-19 15:00,0
01-04-19 15:15,121
01-04-19 15:30,0
01-04-19 15:45,0
01-04-19 16:00,0
01-04-19 16:15,0
01-04-19 16:30,413
01-04-19 16:45,2032
01-04-19 17:00,1030
01-04-19 17:15,41
01-04-19 17:30,55
01-04-19 17:45,0
01-04-19 18:00,0
01-04-19 18:15,0
01-04-19 18:30,0
01-04-19 18:45,0
01-04-19 19:00,0
01-04-19 19:15,42
01-04-19 19:30,387
01-04-19 19:45,55
01-04-19 20:00,76
01-04-19 20:15,0
01-04-19 20:30,0
01-04-19 20:45,0
01-04-19 21:00,1014
01-04-19 21:15,8
01-04-19 21:30,0
01-04-19 21:45,15
01-04-19 22:00,0
01-04-19 22:15,83
01-04-19 22:30,951
01-04-19 22:45,0
01-04-19 23:00,64
01-04-19 23:15,0
01-04-19 23:30,0
01-04-19 23:45,0
01-05-19 0:00,0
01-05-19 0:15,0
01-05-19 0:30,0
01-05-19 0:45,0
01-05-19 1:00,0
01-05-19 1:15,0
01-05-19 1:30,0
01-05-19 1:45,0
01-05-19 2:00,0
01-05-19 2:15,0
01-05-19 2:30,0
01-05-19 2:45,0
01-05-19 3:00,0
01-05-19 3:15,0
01-05-19 3:30,0
01-05-19 3:45,0
01-05-19 4:00,0
01-05-19 4:15,0
01-05-19 4:30,0
01-05-19 4:45,0
01-05-19 5:00,0
01-05-19 5:15,0
01-05-19 5:30,0
01-05-19 5:45,0
01-05-19 6:00,0
01-05-19 6:15,0
01-05-19 6:30,0
01-05-19 6:45,0
01-05-19 7:00,0
01-05-19 7:15,0
01-05-19 7:30,0
01-05-19 7:45,197
01-05-19 8:00,101
01-05-19 8:15,0
01-05-19 8:30,0
01-05-19 8:45,0
01-05-19 9:00,0
01-05-19 9:15,0
01-05-19 9:30,149
01-05-19 9:45,147
01-05-19 10:00,84
01-05-19 10:15,97
01-05-19 10:30,413
01-05-19 10:45,1609
01-05-19 11:00,28
01-05-19 11:15,37
01-05-19 11:30,0
01-05-19 11:45,9
01-05-19 12:00,613
01-05-19 12:15,0
01-05-19 12:30,0
01-05-19 12:45,67
01-05-19 13:00,477
01-05-19 13:15,51
01-05-19 13:30,0
01-05-19 13:45,16
01-05-19 14:00,0
01-05-19 14:15,65
01-05-19 14:30,0
01-05-19 14:45,0
01-05-19 15:00,0
01-05-19 15:15,0
01-05-19 15:30,0
01-05-19 15:45,45
01-05-19 16:00,0
01-05-19 16:15,607
01-05-19 16:30,87
01-05-19 16:45,18
01-05-19 17:00,28
01-05-19 17:15,125
01-05-19 17:30,127
01-05-19 17:45,375
01-05-19 18:00,689
01-05-19 18:15,167
01-05-19 18:30,0
01-05-19 18:45,34
01-05-19 19:00,254
01-05-19 19:15,0
01-05-19 19:30,0
01-05-19 19:45,0
01-05-19 20:00,0
01-05-19 20:15,0
01-05-19 20:30,0
01-05-19 20:45,0
01-05-19 21:00,0
01-05-19 21:15,0
01-05-19 21:30,0
01-05-19 21:45,704
01-05-19 22:00,1132
01-05-19 22:15,0
01-05-19 22:30,0
01-05-19 22:45,1313
01-05-19 23:00,66
01-05-19 23:15,0
01-05-19 23:30,28
01-05-19 23:45,0
